name	human	mouse
Late_neural_progenitor_proteomics	SMOC1	Smoc1
Neural_progenitor_proteomics	EPHB2	Ephb2
Transient_neuronal_regulation	LMO1	Lmo1
Pluripotency	POU5F1	Pou5f1
Ectoderm	NOS2	Nos2
Endoderm	FOXA2	Foxa2
Mesoderm	NR5A2	Nr5a2
Neuronal_marker	HESX1	Hesx1
Neural Crest	PBX3	Pbx3
Ion_channels_general	SCN11A	Scn11a
Calcium_ion_channel	CACNA2D2	Cacna2d2
Chloride_ion_channel	CFTR	Cftr
Potassium_ion_channel	KCNC2	Kcnc2
Sodium_ion_channel	SCN2B	Scn2b
Voltage_gated_ion_channel	CACNA2D2	Cacna2d2
Gap_junction_proteins	GJB3	Gjb3
Ligand_gated_ion_channels	CHRNB3	Chrnb3
Porins	AQP8	Aqp8
Sesory_neuron	CADPS2	Cadps2
Nociceptor	PRPH	Prph
Glia	LHX2	Lhx2
Lower_cortical_neuron	MAP1B	Map1b
Upper_cortical_neuron	GPR85	Gpr85
Housekeeping	CCDC90B	Ccdc90b
Stress_panel	CHEK2	Chek2
Cell_cycle_G2M_phase	BUB3	Bub3
Cell_cycle_S_phase	C11orf82	NA
Early_marker	IFITM1	Ifitm1
Late_neural_progenitor	PNISR	Pnisr
Late_neural_progenitor_proteomics	TLE4	Tle4
Neural_progenitor_proteomics	FBN1	Fbn1
Transient_neuronal_regulation	LRIG1	Lrig1
Pluripotency	SOX2	Sox2
Ectoderm	NR2F1	Nr2f1
Endoderm	FOXP2	Foxp2
Mesoderm	ODAM	Odam
Neuronal_marker	ISL1	Isl1
Neural Crest	RGMB	Rgmb
Ion_channels_general	SCN3A	Scn3a
Calcium_ion_channel	CACNA2D3	Cacna2d3
Chloride_ion_channel	CLCN1	Clcn1
Potassium_ion_channel	KCNC3	Kcnc3
Sodium_ion_channel	SCN3A	Scn3a
Voltage_gated_ion_channel	CACNA2D3	Cacna2d3
Gap_junction_proteins	GJB4	Gjb4
Ligand_gated_ion_channels	CHRNB4	Chrnb4
Porins	AQP9	Aqp9
Sesory_neuron	HAPLN4	Hapln4
Glia	LINC01158	NA
Lower_cortical_neuron	MAPT	Mapt
Upper_cortical_neuron	GRIN2B	Grin2b
Housekeeping	CHFR	Chfr
Stress_panel	DDB2	Ddb2
Cell_cycle_G2M_phase	C14orf80	NA
Cell_cycle_S_phase	C5orf42	NA
Early_marker	L1TD1	L1td1
Late_neural_progenitor	RPL15	Rpl15
Late_neural_progenitor_proteomics	TP53I11	Trp53i11
Neural_progenitor_proteomics	FUT8	Fut8
Transient_neuronal_regulation	LUZP2	Luzp2
Pluripotency	TRIM22	NA
Ectoderm	NR2F2	Nr2f2
Endoderm	GATA6	Gata6
Mesoderm	PDGFRA	Pdgfra
Neuronal_marker	LHX3	Lhx3
Neural Crest	SALL4	Sall4
Ion_channels_general	SCN9A	Scn9a
Calcium_ion_channel	CACNA2D4	Cacna2d4
Chloride_ion_channel	CLCN2	Clcn2
Potassium_ion_channel	KCNC4	Kcnc4
Sodium_ion_channel	SCN3B	Scn3b
Voltage_gated_ion_channel	CACNA2D4	Cacna2d4
Gap_junction_proteins	GJB5	Gjb5
Ligand_gated_ion_channels	CHRND	Chrnd
Porins	BEST1	Best1
Sesory_neuron	NTRK1	Ntrk1
Glia	MYO10	Myo10
Lower_cortical_neuron	NSG2	Nsg2
Upper_cortical_neuron	HN1	NA
Housekeeping	CHMP2A	Chmp2a
Stress_panel	DDIT3	Ddit3
Cell_cycle_G2M_phase	C2orf69	1700066M21Rik
Cell_cycle_S_phase	CALD1	Cald1
Early_marker	MT2A	Mt2
Late_neural_progenitor	RPL5	Rpl5
Late_neural_progenitor_proteomics	TPBG	Tpbg
Neural_progenitor_proteomics	GREB1L	Greb1l
Transient_neuronal_regulation	MAP1B	Map1b
Pluripotency	ZFP42	Zfp42
Ectoderm	OLFM3	Olfm3
Endoderm	GSC	Gsc
Mesoderm	PLVAP	Plvap
Neuronal_marker	MAP2	Map2
Neural Crest	SNAI2	Snai2
Ion_channels_general	TRPV1	Trpv1
Calcium_ion_channel	CACNB1	Cacnb1
Chloride_ion_channel	CLCN3	Clcn3
Potassium_ion_channel	KCND1	Kcnd1
Sodium_ion_channel	SCN4A	Scn4a
Voltage_gated_ion_channel	CACNB1	Cacnb1
Gap_junction_proteins	GJB6	Gjb6
Ligand_gated_ion_channels	CHRNE	Chrne
Porins	BEST2	Best2
Sesory_neuron	NTRK2	Ntrk2
Glia	PAX6	Pax6
Lower_cortical_neuron	RAB3A	Rab3a
Upper_cortical_neuron	INA	Ina
Housekeeping	DHRSX	Dhrsx
Stress_panel	DNAJC3	Dnajc3
Cell_cycle_G2M_phase	CASP3	Casp3
Cell_cycle_S_phase	CALM2	Calm2
Early_marker	MT1G	Mt1
Late_neural_progenitor	RPS19	Rps19
Late_neural_progenitor_proteomics	WLS	Wls
Neural_progenitor_proteomics	HAPLN1	Hapln1
Transient_neuronal_regulation	OLFML3	Olfml3
Ectoderm	OTX2	Otx2
Endoderm	HHEX	Hhex
Mesoderm	SNAI2	Snai2
Neuronal_marker	NEUROD1	Neurod1
Neural Crest	SOX1	Sox1
Ion_channels_general	TRPV2	Trpv2
Calcium_ion_channel	CACNB2	Cacnb2
Chloride_ion_channel	CLCN4	Clcn4
Potassium_ion_channel	KCND2	Kcnd2
Sodium_ion_channel	SCN4B	Scn4b
Voltage_gated_ion_channel	CACNB2	Cacnb2
Gap_junction_proteins	GJB7	NA
Ligand_gated_ion_channels	CHRNG	Chrng
Porins	BEST3	Best3
Sesory_neuron	NTRK3	Ntrk3
Glia	PTN	Ptn
Lower_cortical_neuron	RTN1	Rtn1
Upper_cortical_neuron	MAP1B	Map1b
Housekeeping	EMC7	Emc7
Stress_panel	FTH1	Fth1
Cell_cycle_G2M_phase	CBX5	Cbx5
Cell_cycle_S_phase	CASP2	Casp2
Early_marker	MT1X	Mt1
Late_neural_progenitor	SOX4	Sox4
Late_neural_progenitor_proteomics	ZNF521	Zfp521
Neural_progenitor_proteomics	LHX1	Lhx1
Transient_neuronal_regulation	PEG10	Peg10
Ectoderm	PAPLN	Papln
Endoderm	KLF5	Klf5
Mesoderm	T	NA
Neuronal_marker	NEUROG2	Neurog2
Neural Crest	SOX10	Sox10
Calcium_ion_channel	CACNB3	Cacnb3
Chloride_ion_channel	CLCN5	Clcn5
Potassium_ion_channel	KCND3	Kcnd3
Sodium_ion_channel	SCN5A	Scn5a
Voltage_gated_ion_channel	CACNB3	Cacnb3
Gap_junction_proteins	GJC1	Gjc1
Ligand_gated_ion_channels	GABRA1	Gabra1
Porins	BEST4	NA
Sesory_neuron	RUNX1	Runx1
Glia	QKI	Qk
